ID,FirstName,LastName,Grade,GPA,BirthDate,Gender,ClassRank,AttendPct,Honors,Sports,ClubCount
0067,Patrick,Gutierrez,10,3.71,2008-11-02,M,045,96.7,Y,Basketbal,2
0068,Christine,Ortiz,11,3.14,2007-07-18,F,106,89.2,N,None,0
0069,Zachary,Morgan,09,3.96,2009-02-28,M,014,99.0,Y,Track,3
0070,Angela,Cooper,12,3.44,2006-10-04,F,068,94.0,N,Swim,1
0071,Dustin,Peterson,10,3.39,2008-01-22,M,083,92.6,N,Soccer,2
0072,Catherine,Bailey,11,3.98,2007-05-10,F,003,99.6,Y,Cheer,4
0073,Gregory,Reed,09,3.21,2009-08-02,M,108,90.4,N,Baseball,1
0074,Diana,Kelly,12,3.76,2006-02-16,F,033,96.4,Y,Track,2
0075,Bryan,Howard,10,3.45,2008-09-03,M,073,93.8,N,Football,1
0076,Michelle,Ramos,11,3.82,2007-03-25,F,028,97.0,Y,Volleybal,3
0077,Jose,Kim,09,3.13,2009-12-08,M,113,88.7,N,None,0
0078,Lisa,Cox,12,3.91,2006-06-21,F,008,98.6,Y,Swim,2
0079,Edward,Ward,10,3.58,2008-03-12,M,058,95.3,Y,Basketbal,1
0080,Sara,Richardson,11,3.26,2007-10-30,F,095,92.0,N,Soccer,2
0081,Corey,Watson,09,3.87,2009-02-06,M,027,98.4,Y,Track,3
0082,Stephanie,Brooks,12,3.33,2006-07-24,F,086,92.8,N,None,1
0083,Bradley,Chavez,10,3.17,2008-12-19,M,109,89.4,N,None,0
0084,Tara,Wood,11,3.89,2007-09-07,F,017,98.1,Y,Cheer,3
0085,Sean,James,09,3.42,2009-05-27,M,080,93.6,N,Football,1
0086,Jenny,Bennett,12,3.79,2006-01-11,F,029,97.3,Y,Track,2
0087,Derek,Gray,10,3.67,2008-05-22,M,049,96.0,Y,Baseball,2
0088,Nancy,Mendoza,11,3.31,2007-12-05,F,090,93.0,N,None,1
0089,Keith,Ruiz,09,3.94,2009-10-01,M,016,99.1,Y,Basketbal,3
0090,Erin,Hughes,12,3.52,2006-04-14,F,061,94.5,N,Soccer,1
0091,Shane,Price,10,3.14,2008-08-07,M,114,88.5,N,None,0
0092,Alicia,Alvarez,11,3.85,2007-02-18,F,024,97.9,Y,Volleybal,2
0093,Joel,Castillo,09,3.36,2009-11-10,M,085,93.3,N,Track,1
0094,Holly,Sanders,12,3.97,2006-03-02,F,002,99.5,Y,Swim,3
0095,Jesse,Patel,10,3.74,2008-10-24,M,041,96.4,Y,Football,2
0096,Lindsey,Myers,11,3.18,2007-06-15,F,102,90.1,N,Cheer,1
0097,Tracy,Long,09,3.88,2009-04-28,M,024,98.0,Y,Soccer,2
0098,Jared,Ross,12,3.49,2006-11-20,F,063,94.6,N,None,1
0099,Tasha,Foster,10,3.27,2008-07-08,F,093,92.4,N,Basketbal,2
0100,Clayton,Jimenez,11,3.91,2007-03-01,M,015,98.9,Y,Baseball,3
